pp_id,trial_condition,stimulus_response,onset_i,onset,tap_location,velocity
jelle2,0,stimulus,1,0.0,,
jelle2,0,stimulus,2,0.5,,
jelle2,0,stimulus,3,1.0,,
jelle2,0,stimulus,4,1.5,,
jelle2,0,stimulus,5,2.0,,
jelle2,0,stimulus,6,2.5,,
jelle2,0,stimulus,7,3.0,,
jelle2,0,stimulus,8,3.5,,
jelle2,0,stimulus,9,4.0,,
jelle2,0,stimulus,10,4.5,,
jelle2,0,stimulus,11,5.0,,
jelle2,0,stimulus,12,5.5,,
jelle2,0,stimulus,13,6.0,,
jelle2,0,stimulus,14,6.5,,
jelle2,0,stimulus,15,7.0,,
jelle2,0,stimulus,16,7.5,,
jelle2,0,stimulus,17,8.0,,
jelle2,0,stimulus,18,8.5,,
jelle2,0,stimulus,19,9.0,,
jelle2,0,stimulus,20,9.5,,
jelle2,0,stimulus,21,10.0,,
jelle2,0,stimulus,22,10.5,,
jelle2,0,stimulus,23,11.0,,
jelle2,0,stimulus,24,11.5,,
jelle2,0,response,1,0.5422319163878768,0.04223191638787682,84.0
jelle2,0,response,2,1.0836062913838163,0.08360629138381626,90.0
jelle2,0,response,3,1.575580208383812,0.07558020838381196,68.0
jelle2,0,response,4,2.0590671663482993,0.05906716634829934,91.0
jelle2,0,response,5,2.533222124384096,0.03322212438409622,58.0
jelle2,0,response,6,3.042070874358373,0.04207087435837309,89.0
jelle2,0,response,7,3.5423468743644975,0.04234687436449747,59.0
jelle2,0,response,8,4.016731374369314,0.016731374369314267,58.0
jelle2,0,response,9,4.533781083355038,0.03378108335503782,50.0
jelle2,0,response,10,5.0413174583770655,0.041317458377065464,52.0
jelle2,0,response,11,5.532966958355004,0.032966958355004294,72.0
jelle2,0,response,12,6.05799783335145,0.05799783335145037,80.0
jelle2,0,response,13,6.533975541354934,0.03397554135493408,74.0
jelle2,0,response,14,7.02573229133462,0.025732291334620072,62.0
jelle2,0,response,15,7.508613124369489,0.008613124369489356,103.0
jelle2,0,response,16,8.033964749363562,0.03396474936356242,84.0
jelle2,0,response,17,8.508732416372126,0.008732416372126295,97.0
jelle2,0,response,18,8.974808583381432,-0.025191416618568496,85.0
jelle2,0,response,19,9.516702374381325,0.016702374381324603,64.0
jelle2,0,response,20,10.025006249368502,0.025006249368502154,66.0
jelle2,0,response,21,10.508771791351805,0.008771791351804836,59.0
jelle2,0,response,22,11.000651583362682,0.0006515833626821177,46.0
jelle2,0,response,23,11.475688166388622,-0.02431183361137812,47.0
jelle2,0,response,24,11.950531499340045,0.45053149934004466,49.0
jelle2,100,stimulus,1,0.0,,
jelle2,100,stimulus,2,0.5,,
jelle2,100,stimulus,3,1.0,,
jelle2,100,stimulus,4,1.5,,
jelle2,100,stimulus,5,2.0,,
jelle2,100,stimulus,6,2.5,,
jelle2,100,stimulus,7,3.0,,
jelle2,100,stimulus,8,3.5,,
jelle2,100,stimulus,9,4.0,,
jelle2,100,stimulus,10,4.5,,
jelle2,100,stimulus,11,5.0,,
jelle2,100,stimulus,12,5.5,,
jelle2,100,stimulus,13,6.0,,
jelle2,100,stimulus,14,6.5,,
jelle2,100,stimulus,15,7.0,,
jelle2,100,stimulus,16,7.5,,
jelle2,100,stimulus,17,8.0,,
jelle2,100,stimulus,18,8.5,,
jelle2,100,stimulus,19,9.0,,
jelle2,100,stimulus,20,9.5,,
jelle2,100,stimulus,21,10.0,,
jelle2,100,stimulus,22,10.5,,
jelle2,100,stimulus,23,11.0,,
jelle2,100,stimulus,24,11.5,,
jelle2,100,response,1,0.567353958376529,0.06735395837652902,42.0
jelle2,100,response,2,1.1250279993362113,0.12502799933621134,82.0
jelle2,100,response,3,1.674788999367351,0.17478899936735104,97.0
jelle2,100,response,4,2.225480624354283,0.22548062435428307,78.0
jelle2,100,response,5,2.741575041374503,0.24157504137450303,89.0
jelle2,100,response,6,3.2673365413754567,-0.2326634586245433,39.0
jelle2,100,response,7,3.800422833355455,-0.19957716664454495,90.0
jelle2,100,response,8,4.308771583364191,-0.19122841663580914,28.0
jelle2,100,response,9,4.7748026663282275,-0.22519733367177253,95.0
jelle2,100,response,10,5.242070999341863,0.2420709993418626,80.0
jelle2,100,response,11,5.774900416374052,-0.22509958362594773,56.0
jelle2,100,response,12,6.266619583355109,-0.2333804166448914,67.0
jelle2,100,response,13,6.7413114163752965,0.24131141637529652,50.0
jelle2,100,response,14,7.233162958345687,0.23316295834568734,55.0
jelle2,100,response,15,7.733364916344485,0.23336491634448464,51.0
jelle2,100,response,16,8.25820758333041,-0.24179241666958973,65.0
jelle2,100,response,17,8.742407333334754,0.24240733333475362,20.0
jelle2,100,response,18,9.266267958326111,-0.23373204167388906,82.0
jelle2,100,response,19,9.759093374359267,-0.24090662564073284,60.0
jelle2,100,response,20,10.258878958349428,-0.24112104165057247,60.0
jelle2,100,response,21,10.758450749326343,-0.24154925067365696,52.0
jelle2,100,response,22,11.23325058334352,0.23325058334351922,65.0
jelle2,100,response,23,11.716635916378195,0.2166359163781948,56.0
jelle2,150,stimulus,1,0.0,,
jelle2,150,stimulus,2,0.5,,
jelle2,150,stimulus,3,1.0,,
jelle2,150,stimulus,4,1.5,,
jelle2,150,stimulus,5,2.0,,
jelle2,150,stimulus,6,2.5,,
jelle2,150,stimulus,7,3.0,,
jelle2,150,stimulus,8,3.5,,
jelle2,150,stimulus,9,4.0,,
jelle2,150,stimulus,10,4.5,,
jelle2,150,stimulus,11,5.0,,
jelle2,150,stimulus,12,5.5,,
jelle2,150,stimulus,13,6.0,,
jelle2,150,stimulus,14,6.5,,
jelle2,150,stimulus,15,7.0,,
jelle2,150,stimulus,16,7.5,,
jelle2,150,stimulus,17,8.0,,
jelle2,150,stimulus,18,8.5,,
jelle2,150,stimulus,19,9.0,,
jelle2,150,stimulus,20,9.5,,
jelle2,150,stimulus,21,10.0,,
jelle2,150,stimulus,22,10.5,,
jelle2,150,stimulus,23,11.0,,
jelle2,150,stimulus,24,11.5,,
jelle2,150,response,1,0.574601416355776,0.074601416355776,71.0
jelle2,150,response,2,1.0914869163495808,0.09148691634958084,84.0
jelle2,150,response,3,1.6331348333585396,0.1331348333585396,72.0
jelle2,150,response,4,2.1330754583429865,0.1330754583429865,87.0
jelle2,150,response,5,2.633158583364761,0.13315858336476083,102.0
jelle2,150,response,6,3.1166010833655804,0.1166010833655804,76.0
jelle2,150,response,7,3.583293083352814,0.08329308335281382,71.0
jelle2,150,response,8,4.066415708333565,0.06641570833356525,74.0
jelle2,150,response,9,4.583360833344827,0.0833608333448268,61.0
jelle2,150,response,10,5.158346541338446,0.15834654133844595,83.0
jelle2,150,response,11,5.657721375344167,0.15772137534416686,73.0
jelle2,150,response,12,6.166648166366695,0.166648166366695,70.0
jelle2,150,response,13,6.824412416371828,-0.17558758362817173,53.0
jelle2,150,response,14,7.29962929134102,-0.20037070865897988,76.0
jelle2,150,response,15,7.79981508338436,-0.20018491661564042,44.0
jelle2,150,response,16,8.341464958382616,-0.15853504161738385,58.0
jelle2,150,response,17,8.86657554137831,-0.13342445862168972,62.0
jelle2,150,response,18,9.391529583368296,-0.10847041663170387,44.0
jelle2,150,response,19,9.941636125378622,-0.05836387462137793,55.0
jelle2,150,response,20,10.533327666340242,0.033327666340241535,71.0
jelle2,150,response,21,11.11581820837067,0.11581820837066914,77.0
jelle2,150,response,22,11.641654666334702,0.14165466633470203,64.0
jelle2,200,stimulus,1,0.0,,
jelle2,200,stimulus,2,0.5,,
jelle2,200,stimulus,3,1.0,,
jelle2,200,stimulus,4,1.5,,
jelle2,200,stimulus,5,2.0,,
jelle2,200,stimulus,6,2.5,,
jelle2,200,stimulus,7,3.0,,
jelle2,200,stimulus,8,3.5,,
jelle2,200,stimulus,9,4.0,,
jelle2,200,stimulus,10,4.5,,
jelle2,200,stimulus,11,5.0,,
jelle2,200,stimulus,12,5.5,,
jelle2,200,stimulus,13,6.0,,
jelle2,200,stimulus,14,6.5,,
jelle2,200,stimulus,15,7.0,,
jelle2,200,stimulus,16,7.5,,
jelle2,200,stimulus,17,8.0,,
jelle2,200,stimulus,18,8.5,,
jelle2,200,stimulus,19,9.0,,
jelle2,200,stimulus,20,9.5,,
jelle2,200,stimulus,21,10.0,,
jelle2,200,stimulus,22,10.5,,
jelle2,200,stimulus,23,11.0,,
jelle2,200,stimulus,24,11.5,,
jelle2,200,response,1,0.47953254135403256,-0.02046745864596744,47.0
jelle2,200,response,2,1.1540427913384832,0.1540427913384832,75.0
jelle2,200,response,3,1.6453474163388222,0.1453474163388222,57.0
jelle2,200,response,4,2.1460094163155503,0.1460094163155503,64.0
jelle2,200,response,5,2.679646458356487,0.17964645835648696,46.0
jelle2,200,response,6,3.23804500035088,0.23804500035087983,52.0
jelle2,200,response,7,3.7876614163358084,-0.21233858366419156,45.0
jelle2,200,response,8,4.295659833350996,-0.20434016664900412,53.0
jelle2,200,response,9,4.804095625349632,-0.19590437465036814,35.0
jelle2,200,response,10,5.312195791335171,-0.18780420866482928,39.0
jelle2,200,response,11,5.804140916323135,-0.195859083676865,44.0
jelle2,200,response,12,6.437315916347629,-0.06268408365237121,29.0
jelle2,200,response,13,6.987782333333371,-0.012217666666629157,37.0
jelle2,200,response,14,7.512949916355609,0.012949916355609048,28.0
jelle2,200,response,15,7.995766958334329,-0.004233041665671067,41.0
jelle2,200,response,16,8.553878125323294,0.05387812532329406,57.0
jelle2,200,response,17,9.063198458341247,0.06319845834124749,47.0
jelle2,200,response,18,9.546018458316894,0.046018458316893884,47.0
jelle2,200,response,19,10.054635500356866,0.05463550035686637,86.0
jelle2,200,response,20,10.579714250339507,0.07971425033950652,58.0
jelle2,200,response,21,11.063301166341006,0.06330116634100591,72.0
jelle2,200,response,22,11.571273666336964,0.07127366633696397,43.0
jelle2,20,stimulus,1,0.0,,
jelle2,20,stimulus,2,0.5,,
jelle2,20,stimulus,3,1.0,,
jelle2,20,stimulus,4,1.5,,
jelle2,20,stimulus,5,2.0,,
jelle2,20,stimulus,6,2.5,,
jelle2,20,stimulus,7,3.0,,
jelle2,20,stimulus,8,3.5,,
jelle2,20,stimulus,9,4.0,,
jelle2,20,stimulus,10,4.5,,
jelle2,20,stimulus,11,5.0,,
jelle2,20,stimulus,12,5.5,,
jelle2,20,stimulus,13,6.0,,
jelle2,20,stimulus,14,6.5,,
jelle2,20,stimulus,15,7.0,,
jelle2,20,stimulus,16,7.5,,
jelle2,20,stimulus,17,8.0,,
jelle2,20,stimulus,18,8.5,,
jelle2,20,stimulus,19,9.0,,
jelle2,20,stimulus,20,9.5,,
jelle2,20,stimulus,21,10.0,,
jelle2,20,stimulus,22,10.5,,
jelle2,20,stimulus,23,11.0,,
jelle2,20,stimulus,24,11.5,,
jelle2,20,response,1,0.009205458332623095,0.009205458332623095,78.0
jelle2,20,response,2,0.6799872083317808,0.17998720833178083,43.0
jelle2,20,response,3,1.130014958321894,0.13001495832189391,51.0
jelle2,20,response,4,1.5626397083358228,0.06263970833582277,76.0
jelle2,20,response,5,2.0965445003200642,0.09654450032006423,105.0
jelle2,20,response,6,2.5378371252988856,0.03783712529888561,99.0
jelle2,20,response,7,3.037464125310848,0.03746412531084786,87.0
jelle2,20,response,8,3.5129420832924865,0.012942083292486473,94.0
jelle2,20,response,9,4.029021291291187,0.029021291291186913,80.0
jelle2,20,response,10,4.505030125317475,0.005030125317475154,92.0
jelle2,20,response,11,5.004967541313576,0.004967541313575907,50.0
jelle2,20,response,12,5.488215458284444,-0.01178454171555643,90.0
jelle2,20,response,13,6.038287416329453,0.038287416329453094,60.0
jelle2,20,response,14,6.529442416325523,0.029442416325522913,55.0
jelle2,20,response,15,7.0290105002893455,0.029010500289345487,68.0
jelle2,20,response,16,7.529850500282677,0.029850500282677217,68.0
jelle2,20,response,17,8.021034791305041,0.021034791305041267,68.0
jelle2,20,response,18,8.513554375323778,0.013554375323778345,41.0
jelle2,20,response,19,8.953981833295742,-0.046018166704257624,41.0
jelle2,20,response,20,9.529908708292837,0.02990870829283665,43.0
jelle2,20,response,21,10.013209000284164,0.013209000284163608,49.0
jelle2,20,response,22,10.537471166284135,0.03747116628413494,38.0
jelle2,20,response,23,11.004951083330283,0.004951083330283268,40.0
jelle2,20,response,24,11.529442625291026,0.029442625291025593,51.0
jelle2,50,stimulus,1,0.0,,
jelle2,50,stimulus,2,0.5,,
jelle2,50,stimulus,3,1.0,,
jelle2,50,stimulus,4,1.5,,
jelle2,50,stimulus,5,2.0,,
jelle2,50,stimulus,6,2.5,,
jelle2,50,stimulus,7,3.0,,
jelle2,50,stimulus,8,3.5,,
jelle2,50,stimulus,9,4.0,,
jelle2,50,stimulus,10,4.5,,
jelle2,50,stimulus,11,5.0,,
jelle2,50,stimulus,12,5.5,,
jelle2,50,stimulus,13,6.0,,
jelle2,50,stimulus,14,6.5,,
jelle2,50,stimulus,15,7.0,,
jelle2,50,stimulus,16,7.5,,
jelle2,50,stimulus,17,8.0,,
jelle2,50,stimulus,18,8.5,,
jelle2,50,stimulus,19,9.0,,
jelle2,50,stimulus,20,9.5,,
jelle2,50,stimulus,21,10.0,,
jelle2,50,stimulus,22,10.5,,
jelle2,50,stimulus,23,11.0,,
jelle2,50,stimulus,24,11.5,,
jelle2,50,response,1,0.8664241256696776,-0.13357587433032236,17.0
jelle2,50,response,2,1.3491537086588004,-0.15084629134119965,49.0
jelle2,50,response,3,1.8330911256411735,-0.1669088743588265,49.0
jelle2,50,response,4,2.4579747086313226,-0.04202529136867739,52.0
jelle2,50,response,5,3.0077643756444257,0.0077643756444256695,77.0
jelle2,50,response,6,3.533191583635439,0.03319158363543906,75.0
jelle2,50,response,7,4.07439083366577,0.07439083366577037,68.0
jelle2,50,response,8,4.516032916660574,0.01603291666057416,55.0
jelle2,50,response,9,5.041425791677707,0.04142579167770677,46.0
jelle2,50,response,10,5.507524458625509,0.007524458625509212,45.0
jelle2,50,response,11,6.048945375652206,0.048945375652206025,48.0
jelle2,50,response,12,6.565834250642606,0.06583425064260595,42.0
jelle2,50,response,13,7.00765900062785,0.007659000627850077,43.0
jelle2,50,response,14,7.507304708640245,0.007304708640244684,49.0
jelle2,50,response,15,8.132604583682646,0.13260458368264594,118.0
jelle2,50,response,16,8.64127095863611,0.1412709586361096,56.0
jelle2,50,response,17,9.141670500677233,0.14167050067723252,81.0
jelle2,50,response,18,9.623974708657865,0.1239747086578653,68.0
jelle2,50,response,19,10.098839750680295,0.09883975068029471,85.0
jelle2,50,response,20,10.54953929164136,0.049539291641359284,96.0
